ID,人物,传统,现标v1,语句
03535,亚里士多德,西方,B,财富之中庸最宜；过富则生骄，过贫则生怨。——〔译〕《政治学》1269a—b
03536,爱比克泰德,西方,A,有些事在我们的掌控之中，有些事不在；我们的意见、冲动、欲望、回避以及我们行为本身，都在掌控之中，而身体、财物、名誉、职位以及一切非我们自身行为之事，都不在掌控之中。——《手册·1》
03537,波普尔,西方,A,理性的价值，不在于它从不犯错，而在于它承认自己会犯错。——《开放社会及其敌人》〔意译〕
03538,萨特,西方,A,我是我的自由，除此之外我什么都不是。——《存在与虚无》〔意译〕
03539,牟宗三,中国,A,返身而诚，则天地万物皆备于我。——《中国哲学十九讲》 〔意译〕
03540,孟子,中国,B,暴其民甚，则身弑国亡。——《孟子·离娄上》
03541,孟子,中国,A,自反而不缩，虽褐宽博，吾不惴焉；自反而缩，虽千万人，吾往矣。——《孟子·公孙丑上》
03542,伊壁鸠鲁,西方,B,灵魂由最精细、最迅捷的原子构成，散布于全身。——〔译〕《致希罗多德的信》LH
03543,郭象,中国,A,无情者，言人之不以好恶内伤其身，常因自然而不益生。——《庄子注·德充符》
03544,王弼,中国,A,自见，则其明不全；自是，则其是不足。——《老子注·二十四章》
03545,牟宗三,中国,B,道统之肯定，即肯定道德宗教之价值。——《政道与治道》 〔意译〕
03546,荀子,中国,A,吾尝终日而思矣，不如须臾之所学也。——《荀子·劝学》
03547,庄子,中国,B,圣人不死，大盗不止。——《庄子·胠箧》
03548,李贽,中国,B,然则今日之是非，谓予李卓吾一人之是非，可也。——《焚书·答耿中丞》
03549,荀子,中国,B,强本而节用，则天不能贫。——《荀子·天论》
03550,爱比克泰德,西方,B,世事如流，今日的显达明日便过；聪明人不为无常之物所动。——《手册·15》〔意译〕
03551,韩非,中国,B,故明主使法择人，不自举也；使法量功，不自度也。——《韩非子·有度》
03552,商鞅,中国,A,圣人不法古，不修今，因世而为之治，度俗而为之法。——《商君书·开塞》
03553,老子,中国,A,知我者希，则我者贵。——《道德经·第七十章》
03554,道元,日本,A,寒则知寒，热则知热，是修行之要。——《正法眼藏·雑録》
03555,董仲舒,中国,A,性有善质，而未能为善也。——《春秋繁露·深察名号》
03556,亚里士多德,西方,A,友爱使生活值得选择；无友者纵有其余亦难安。——〔译〕《尼各马可伦理学》1155a—b
03557,叔本华,西方,A,人所能真正拥有的，无非是他自己的性格与智力。——《附录与补遗·人生的智慧》〔译〕
03558,笛卡尔,西方,B,物质的每一个部分都始终在运动之中。——《哲学原理》第二部分·§33〔意译〕
03559,克尔凯郭尔,西方,A,自我，只有借着与上帝的关系才得以建立。——《致死的疾病》（Anti-Climacus）〔译〕
03560,商羯罗,印度,B,因果之名皆是世俗言说；第一义中无因无果。——《梵经注·卷二》〔译〕
03561,洛克,西方,B,人类知识的薄弱，恰是谦卑与宽容的理由。——《人类理解论》卷四·章三·节6〔意译〕
03562,朱熹,中国,A,问渠那得清如许？为有源头活水来。——《观书有感》
03563,周敦颐,中国,A,出淤泥而不染，濯清涟而不妖，中通外直，不蔓不枝，香远益清，亭亭净植，可远观而不可亵玩焉。——《爱莲说》
03564,斯宾诺莎,西方,B,自然的力量就是神的力量；人只是其中有限的一环。——《伦理学》第四部分·命题四〔意译〕
03565,释迦牟尼,印度,B,一切行无常，一切法无我，涅槃寂静，是名三法印。——《杂阿含经·卷三》（三法印）
03566,波普尔,西方,B,权力需要制衡，因为掌权者同样会犯错、会腐败。——《开放社会及其敌人》〔意译〕
03567,王夫之,中国,B,天命不已，圣人之纯亦不已。——《张子正蒙注·诚明篇》 〔意译〕
03568,叔本华,西方,B,同情，是道德的唯一根源。——《论道德的基础》〔译〕
03569,塞涅卡,西方,B,财富如流水，聚散由时；智者不执于聚，亦不惧于散。——《论幸福生活·1》〔译〕
03570,陆九渊,中国,A,人生天地间，为人自当尽人道。——《语录》
03571,马克思,西方,B,资本是死劳动，它像吸血鬼一样，只有吮吸活劳动才有生命。——《资本论》第一卷·第八章〔译〕
03572,黄宗羲,中国,B,必使治天下之具皆出于学校。——《明夷待访录·学校》
03573,牟宗三,中国,B,学统之开出，即转出知性主体。——《政道与治道》 〔意译〕
03574,熊十力,中国,A,学者当务根本，识得自家性命。——《十力语要·卷一》 〔意译〕
03575,巴门尼德,西方,B,凡人就这样依意见，把这些事物构造成貌似生成、貌似运行。——〔译〕《论自然》残篇 DK B19（辛普里丘转引）
03576,阿奎那,西方,B,恩典固超乎自然，却以自然为基础；如楼建于地，非废地而成。——《神学大全·I·q.1·a.8》〔译〕
03577,惠施,中国,B,今日适越而昔来。——《庄子·天下》（历物十事之七）
03578,张载,中国,A,过言非心也，过动非诚也；失于声，缪迷其四体，谓己当然，自诬也。——《东铭》
03579,密尔,西方,B,习俗，是社会的监护人，也可能是个性的牢笼。——《论自由·第三章》〔译〕
03580,休谟,西方,A,印象是活泼、强烈的，观念是微弱、暗淡的。——《人性论》卷一·部一·章一〔意译〕
03581,海亚姆,伊斯兰波斯,B,莫为来世苦修，今生草木一秋。——《鲁拜集》〔译〕
03582,王阳明,中国,A,人生大病，只是一「傲」字。——《传习录》下
03583,慧能,中国,A,前念迷即凡夫，后念悟即佛。——《坛经》（敦煌本）
03584,嵇康,中国,B,音声无常，惟人所遇，哀心应感，感而后发。——《声无哀乐论》
03585,王夫之,中国,A,静以存神，动以养气。——《思问录·内篇》 〔意译〕
03586,加缪,西方,A,我不为来世活，我只为此生负责。——《反抗者》〔意译〕
03587,孙子,中国,A,胜兵先胜而后求战，败兵先战而后求胜。——《孙子兵法·形篇》
03588,阿奎那,西方,A,刚毅使人在凶险中不偏其志；它非无情，乃是有序之勇。——《神学大全·II-II·q.123·a.1》〔译〕
03589,僧肇,中国,A,夫有所知，则有所不知。——《般若无知论》
03590,洛克,西方,A,我们的一切知识都建立在经验之上，最终源于经验。——《人类理解论》卷二·章一·节2〔意译〕
03591,老子,中国,A,见素抱朴，少私寡欲。——《道德经·第十九章》
03592,康德,西方,B,刑罚的公正，只在于它配得上罪行，而非儆戒他人。——《道德形而上学·法权论》〔译〕
03593,冯友兰,中国,A,人若能有觉解，则即于日常底活动中，亦可见其意义。——《新原人·第一章》
03594,鲁米,伊斯兰波斯,A,当你的心碎裂，裂缝正是光照入之处。——《玛斯纳维·卷二》〔译〕
03595,道元,日本,A,一念万年，万年一念，是坐禅之境。——《正法眼藏·有時》
03596,王充,中国,B,谴告之言，衰乱之语也。——《论衡·自然》
03597,福柯,西方,B,现代权力不再主要靠暴力，而靠对生活的细致管理。——《规训与惩罚》〔意译〕
03598,僧肇,中国,B,是以如来功流万世而常存，道通百劫而弥固。——《物不迁论》
03599,释迦牟尼,印度,A,精进不应起懈怠，如炼真金去其垢秽。——《杂阿含经·卷三九》
03600,鲁米,伊斯兰波斯,B,美不在形，在观者之眼被爱点燃。——《玛斯纳维·卷三》〔译〕
03601,马可·奥勒留,西方,A,不要像一件被牵扯的木偶那样行事。——《沉思录》卷七·3〔意译〕
03602,韩非,中国,A,故视强，则目不明；听甚，则耳不聪；思虑过度，则智识乱。——《韩非子·解老》
03603,海亚姆,伊斯兰波斯,A,春风一度，且尽杯中，莫计来生。——《鲁拜集》〔译〕
03604,尼采,西方,B,惩罚使人变得温顺，而不是变得更好。——《论道德的谱系·第二论文》〔意译〕
03605,黑格尔,西方,A,熟知非真知。——《精神现象学》〔译〕
03606,海德格尔,西方,A,此在的本质在于它的生存。——《存在与时间》§9〔译〕
03607,熊十力,中国,B,天者，本体之名。——《读经示要·卷一》 〔意译〕
03608,孔子,中国,A,岁寒，然后知松柏之后凋也。——《论语·子罕》
03609,密尔,西方,B,社会的进步，依赖于个性的多样性。——《论自由·第三章》〔译〕
03610,加缪,西方,B,我反抗，故我们存在。——《反抗者》〔译〕
03611,公孙龙,中国,B,青以白非黄，白以青非碧。——《公孙龙子·通变论》
03612,克里希那穆提,印度,B,真正的变革，是个人的内心革命。——《一生的学习》〔译〕
03613,王夫之,中国,B,无其器则无其道。——《周易外传·卷五》
03614,第欧根尼,西方,A,我向雕像乞讨，是为习惯被拒绝，以免依赖他人善意。——〔译〕《名哲言行录》卷六（据其轶事）
03615,亚里士多德,西方,B,人天生就渴求知识，例证是人都喜感官知觉。——〔译〕《形而上学》980a
03616,庄子,中国,A,至人无己，神人无功，圣人无名。——《庄子·逍遥游》
03617,苏格拉底,西方,B,雅典人啊，我尊敬你们，但我服从神甚于服从你们。——柏拉图《申辩篇》29d〔译〕
03618,韩非,中国,B,刑过不避大臣，赏善不遗匹夫。——《韩非子·有度》
03619,朱熹,中国,B,盖仁之为道，乃天地生物之心，即物而在。——《仁说》
03620,鲁米,伊斯兰波斯,B,你骂他人之缺，实是你己身之影。——《玛斯纳维·卷二》〔译〕
03621,尼采,西方,A,一个人必须心中怀有混沌，才能生出一颗舞动的星。——《查拉图斯特拉如是说·序言》
03622,罗素,西方,A,热情（zest）是幸福与健康的秘诀。——《幸福之路》〔译〕
03623,庄子,中国,B,物固有所然，物固有所可。——《庄子·齐物论》
03624,龙树,印度,B,般若波罗蜜，是诸佛之母，能生一切佛。——《大智度论·卷一》
03625,公孙龙,中国,B,视不得其所坚而得其所白者，无坚也；拊不得其所白而得其所坚者，无白也。——《公孙龙子·坚白论》
03626,阿伦特,西方,B,宽恕与承诺，是行动面对其不可逆性的两种补救。——《人的境况》〔译〕
03627,塞涅卡,西方,A,能制伏自己愤怒的人，胜过攻下一座城。——《论愤怒·1·3》〔译〕
03628,公孙龙,中国,A,出其所位，非位；位其所位焉，正也。——《公孙龙子·名实论》
03629,王阳明,中国,A,知是心之本体，心自然会知。——《传习录》上
03630,牟宗三,中国,B,民主建国，是政统之现代形态。——《政道与治道》 〔意译〕
03631,阿奎那,西方,A,祈祷是理性受造物把心转向神的举扬；它本于人需，亦本于神恩。——《神学大全·II-II·q.83·a.1》〔译〕
03632,孙子,中国,B,知吾卒之可以击，而不知敌之不可击，胜之半也；知敌之可击，而不知吾卒之不可以击，胜之半也。——《孙子兵法·地形篇》
